Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
James Harden,30,HOU,68,446,512,125,60,308,2335
Damian Lillard,29,POR,66,284,530,70,22,194,1978
Devin Booker,23,PHO,70,297,456,49,18,264,1863
Giannis Antetokounmpo,25,MIL,63,856,354,61,66,230,1857
Trae Young,21,ATL,60,255,560,65,8,289,1778
Luka Dončić,20,DAL,61,573,538,62,14,260,1759
Bradley Beal,26,WAS,57,242,347,71,23,194,1741
LeBron James,35,LAL,67,525,684,78,36,261,1698
Donovan Mitchell,23,UTA,69,304,294,70,14,184,1655
Anthony Davis,26,LAL,62,577,200,91,143,154,1618
CJ McCollum,28,POR,70,297,310,54,42,127,1556
Russell Westbrook,31,HOU,57,451,401,93,20,255,1553
Jayson Tatum,21,BOS,66,460,200,93,57,155,1547
Kawhi Leonard,28,LAC,57,402,280,103,33,149,1543
Zach LaVine,24,CHI,60,289,254,88,28,206,1530
DeMar DeRozan,30,SAS,68,375,380,70,20,164,1504
Brandon Ingram,22,NOP,62,380,259,61,38,189,1477
Nikola Jokić,24,DEN,73,711,512,85,44,226,1456
Tobias Harris,27,PHI,72,495,227,53,40,104,1411
Buddy Hield,27,SAC,72,328,213,66,17,168,1382
Pascal Siakam,25,TOR,60,439,207,61,53,148,1371
Collin Sexton,21,CLE,65,204,192,65,7,158,1349
Shai Gilgeous-Alexander,21,OKC,70,412,232,79,47,134,1331
T.J. Warren,26,IND,67,280,99,78,34,84,1326
Spencer Dinwiddie,26,BRK,64,221,432,40,21,174,1318
Khris Middleton,28,MIL,62,382,265,53,7,137,1297
Bojan Bogdanović,30,UTA,63,259,131,34,7,159,1275
Julius Randle,25,NYK,64,622,198,51,22,193,1248
Chris Paul,34,OKC,70,349,472,111,11,161,1232
Dennis Schröder,26,OKC,65,236,262,45,14,166,1229
Evan Fournier,27,ORL,66,171,209,71,15,125,1221
Nikola Vučević,29,ORL,62,673,222,54,47,88,1215
Ja Morant,20,MEM,67,259,488,58,18,220,1193
Lou Williams,33,LAC,65,201,365,43,12,182,1185
Dillon Brooks,24,MEM,73,243,150,63,27,124,1181
Andrew Wiggins,24,TOT,54,274,198,45,53,132,1175
Montrezl Harrell,26,LAC,63,445,107,39,72,108,1173
Joel Embiid,25,PHI,51,593,152,45,65,159,1172
Jrue Holiday,29,NOP,61,293,408,99,48,184,1167
Kristaps Porziņģis,24,DAL,57,540,102,41,115,92,1164
Danilo Gallinari,31,OKC,62,322,119,42,5,76,1160
Jaylen Brown,23,BOS,57,364,118,65,20,125,1159
Jimmy Butler,30,MIA,58,386,350,103,32,127,1157
Domantas Sabonis,23,IND,62,771,310,47,30,170,1147
Bam Adebayo,22,MIA,72,735,368,82,93,204,1146
Kemba Walker,29,BOS,56,217,268,48,28,117,1145
Devonte' Graham,24,CHO,63,212,471,62,15,181,1145
Terry Rozier,25,CHO,63,276,259,61,10,141,1134
Kyle Lowry,33,TOR,58,292,433,82,26,178,1126
Tim Hardaway Jr.,27,DAL,71,232,137,41,5,69,1121
Jamal Murray,22,DEN,59,236,284,67,17,127,1091
Jordan Clarkson,27,TOT,71,187,136,46,16,97,1078
De'Aaron Fox,22,SAC,51,196,348,74,25,158,1077
Kelly Oubre Jr.,24,PHO,56,361,85,71,40,83,1046
Harrison Barnes,27,SAC,72,355,159,43,12,88,1046
Jonas Valančiūnas,27,MEM,70,788,131,30,76,127,1044
Hassan Whiteside,30,POR,67,905,78,26,196,120,1040
D'Angelo Russell,23,TOT,45,177,285,48,13,147,1039
Paul George,29,LAC,48,272,185,68,20,125,1033
Marcus Morris,30,TOT,62,311,86,47,30,97,1033
Rudy Gobert,27,UTA,68,916,101,51,135,130,1026
Kendrick Nunn,24,MIA,67,180,220,56,15,114,1024
Terrence Ross,28,ORL,69,222,82,77,24,70,1016
Andre Drummond,26,TOT,57,864,152,109,93,203,1010
LaMarcus Aldridge,34,SAS,53,392,129,36,87,74,1001
Joe Harris,28,BRK,69,298,144,41,17,104,998
Alec Burks,28,TOT,66,282,189,62,17,91,993
Jaren Jackson Jr.,20,MEM,57,262,78,40,92,99,990
Kevin Love,31,CLE,56,547,178,33,19,140,987
Duncan Robinson,25,MIA,73,232,102,35,19,70,983
Goran Dragić,33,MIA,59,187,301,40,10,144,953
Fred VanVleet,25,TOR,54,203,357,100,17,121,952
Andrew Wiggins,24,MIN,42,219,155,29,36,107,942
Ben Simmons,23,PHI,57,444,455,119,33,200,937
Karl-Anthony Towns,24,MIN,35,378,153,33,42,110,926
Bogdan Bogdanović,27,SAC,61,207,207,64,15,102,924
J.J. Redick,35,NOP,60,151,119,20,10,75,917
Eric Bledsoe,30,MIL,61,282,328,57,26,148,911
Gordon Hayward,29,BOS,52,348,212,38,22,96,909
Derrick Rose,31,DET,50,121,278,40,16,126,904
Carmelo Anthony,35,POR,58,368,85,49,27,100,895
Aaron Gordon,24,ORL,62,475,228,51,39,100,894
Malcolm Brogdon,27,IND,54,262,381,35,10,131,893
John Collins,22,ATL,41,416,60,31,66,75,885
Will Barton,29,DEN,58,365,212,61,29,88,874
Markelle Fultz,21,ORL,72,238,369,90,11,147,870
Andre Drummond,26,DET,49,775,138,97,82,174,870
Robert Covington,29,TOT,70,463,88,115,93,103,870
Coby White,19,CHI,65,230,175,49,6,109,859
Jerami Grant,25,DEN,71,248,88,50,57,63,851
Ricky Rubio,29,PHO,65,304,570,94,11,173,847
Serge Ibaka,30,TOR,55,452,77,28,46,109,845
Miles Bridges,21,CHO,65,362,114,40,48,95,843
Caris LeVert,25,BRK,45,189,199,53,10,118,842
Marcus Morris,30,NYK,43,233,59,34,17,73,841
Eric Paschall,23,GSW,60,275,127,32,13,94,837
Dāvis Bertāns,27,WAS,54,245,92,37,33,59,834
Nemanja Bjelica,31,SAC,72,458,203,62,40,99,831
Norman Powell,26,TOR,52,190,91,60,21,77,830
Brook Lopez,31,MIL,68,312,99,46,163,70,813
Christian Wood,24,DET,62,390,60,34,54,84,810
RJ Barrett,19,NYK,56,279,143,55,17,124,803
Al Horford,33,PHI,67,456,270,52,61,80,798
Seth Curry,29,DAL,64,145,124,38,9,62,793
Kyle Kuzma,24,LAL,61,273,80,28,26,91,782
D'Angelo Russell,23,GSW,33,122,206,31,9,101,779
De'Andre Hunter,22,ATL,63,286,112,44,18,103,778
Marcus Smart,25,BOS,60,225,291,101,29,103,776
Jarrett Allen,21,BRK,70,671,110,40,92,77,775
Alec Burks,28,GSW,48,226,151,50,17,76,773
Taurean Prince,25,BRK,64,381,116,57,25,127,773
Patty Mills,31,SAS,66,108,118,53,6,54,767
Derrick White,25,SAS,68,223,241,44,59,89,765
Josh Richardson,26,PHI,55,174,162,52,36,104,755
Myles Turner,23,IND,62,407,72,46,132,85,749
Lonzo Ball,22,NOP,63,383,438,88,38,193,745
Tyler Herro,20,MIA,55,224,121,34,9,87,743
Ish Smith,31,WAS,68,219,334,59,30,95,740
Lauri Markkanen,22,CHI,50,313,74,42,23,81,737
OG Anunoby,22,TOR,69,364,108,96,45,79,733
Darius Garland,20,CLE,59,111,229,42,4,151,728
Glenn Robinson III,26,TOT,62,270,96,54,16,55,727
