Player,Salary
Stephen Curry,43006362
Chris Paul,41358814
Russell Westbrook,41358814
John Wall,41254920
James Harden,40824000
LeBron James,39219565
Kevin Durant,39058950
Blake Griffin,36595996
Paul George,35450412
Klay Thompson,35361360
Mike Conley,34504132
Kemba Walker,34379100
Kawhi Leonard,34379100
Jimmy Butler,34379100
Tobias Harris,33517241
Kyrie Irving,33329100
Khris Middleton,33051724
Anthony Davis,32742000
Damian Lillard,31626953
Kevin Love,31300000
Kyle Lowry,30000000
Nicolas Batum,29695187
Nicolas Batum,29695187
Andrew Wiggins,29542010
Joel Embiid,29542010
Kristaps Porziņģis,29467800
Karl-Anthony Towns,29430000
Devin Booker,29430000
CJ McCollum,29354152
Jamal Murray,29250000
Ben Simmons,29250000
Pascal Siakam,29000000
Andre Drummond,28751775
Bradley Beal,28751775
D'Angelo Russell,28649250
Nikola Jokić,28542009
Gordon Hayward,28500000
Otto Porter,28489239
DeMar DeRozan,27739975
Giannis Antetokounmpo,27528090
Steven Adams,27528090
Al Horford,27500000
Brandon Ingram,27285000
Rudy Gobert,26525281
Jrue Holiday,26131111
Nikola Vučević,26000000
Buddy Hield,24431818
LaMarcus Aldridge,24000000
Jaylen Brown,22991071
Draymond Green,22246956
Harrison Barnes,22215909
Fred VanVleet,21250000
Victor Oladipo,21000000
Malcolm Brogdon,20700000
Danilo Gallinari,19500000
Zach LaVine,19500000
Gary Harris,19160714
Jerami Grant,19047619
Tim Hardaway Jr.,18975000
Terry Rozier,18900000
Julius Randle,18900000
Aaron Gordon,18136364
Bogdan Bogdanović,18000000
Myles Turner,18000000
Goran Dragić,18000000
Bojan Bogdanović,17850000
Gorgui Dieng,17287640
Domantas Sabonis,17187500
Ricky Rubio,17000000
Evan Fournier,17000000
Eric Bledsoe,16875000
Eric Gordon,16869276
Caris LeVert,16203704
Joe Harris,16071429
James Johnson,16047100
Clint Capela,16000000
Dennis Schröder,15500000
Cody Zeller,15415730
Danny Green,15365854
Jonas Valančiūnas,15000000
Andre Iguodala,15000000
Marcus Morris,14883721
Kelly Oubre Jr.,14375000
Dejounte Murray,14285714
Rudy Gay,14000000
Taurean Prince,13942308
Will Barton,13920000
Dāvis Bertāns,13793103
Thaddeus Young,13545000
Terrence Ross,13500000
Marcus Smart,13446428
Patrick Beverley,13333333
Malik Beasley,13325895
Patty Mills,13285714
Christian Wood,13015874
J.J. Redick,13013700
Justise Winslow,13000000
Trevor Ariza,12800000
Brook Lopez,12697675
Dion Waiters,12650000
Cory Joseph,12600000
Markelle Fultz,12288697
Kelly Olynyk,12198243
Tony Snell,12178571
Robert Covington,12138345
Kentavious Caldwell-Pope,12073020
Jusuf Nurkić,12000000
T.J. Warren,11750000
Larry Nance Jr.,11709091
Jordan Clarkson,11500000
Spencer Dinwiddie,11454048
Dillon Brooks,11400000
Lonzo Ball,11003782
Norman Powell,10865952
Joe Ingles,10863637
Josh Richardson,10800000
Jeremy Lamb,10500000
DeAndre Jordan,10375678
Zion Williamson,10245480
Dwight Powell,10185185
Rodney Hood,10047450
Deandre Ayton,10018200
Tomáš Satoranský,10000000
Paul Millsap,10000000
Jayson Tatum,9897120
Anthony Edwards,9757440
Meyers Leonard,9756098
Al-Farouq Aminu,9720900
Dante Exum,9600000
George Hill,9590602
Kyle Anderson,9505100
Derrick Jones Jr.,9268293
Tristan Thompson,9258000
Serge Ibaka,9258000
Montrezl Harrell,9258000
Jae Crowder,9258000
Derrick Favors,9258000
Ja Morant,9166800
Delon Wright,9000000
Marvin Bagley III,8963640
Cedi Osman,8750000
James Wiseman,8730240
Dario Šarić,8333333
Thomas Bryant,8333333
Maxi Kleber,8250000
RJ Barrett,8231760
Jakob Poeltl,8101852
De'Aaron Fox,8099627
Luka Dončić,8049360
Royce O'Neale,8035714
